,LGBMRegressor_RMSE_0,LGBMRegressor_RMSE_1,LGBMRegressor_RMSE_2,LGBMRegressor_RMSE_3,LGBMRegressor_RMSE_4,LGBMRegressor_RMSE_5,LGBMRegressor_RMSE_6,LGBMRegressor_RMSE_7,LGBMRegressor_RMSE_8,LGBMRegressor_RMSE_9,average
window_30_12,10.778851989030173,8.213236608035343,2.485862415983903,2.085047401001677,7.026641577708928,8.37355531056626,8.77198037320672,5.582888100919162,16.319853664173703,20.34747906303688,8.998539650366274
window_30_13,32.28422232331455,65.14964404231962,29.59995185435369,22.752731742449594,26.862248292271047,13.168410547201086,11.498210694818352,12.959346526948774,45.35466640311388,8.424028602113628,26.805346102890425
window_30_14,94.98468761524168,22.65297915567612,14.861214387134089,13.993598404580233,12.468199859946566,34.180670987910084,12.322192533799527,8.473799397208271,11.941562399367552,8.773419801913455,23.465232454277757
window_45_0,13.854813002081837,46.36096197555964,6.68200450551506,6.695412831528224,10.136502113894524,4.073682134871883,6.0571656028271965,14.188941318125261,7.513435892423571,8.481849562943525,12.404476893977073
window_45_1,36.33128253776249,7.27741725369637,5.770549876277835,8.225836428195482,15.341742223790408,9.687079657411804,18.02350151055251,7.271791098462585,10.869360718539337,33.8422916504299,15.264085295511874
window_45_2,11.65903539190926,13.232888852475167,15.970390085273548,7.9246568514761835,8.58508817386146,8.162080728696173,11.961932607936479,6.6431034518576615,7.094664514265794,6.554481471610646,9.778832212936237
window_45_3,13.418059542485679,16.679797441503485,10.352678702879608,7.122535742274988,7.159945046606352,5.964293352022533,12.293705875245644,5.954710465725593,9.596729396164672,8.40345554294241,9.694591110785096
window_45_4,49.861359664472786,15.672845804120508,19.01061325050697,10.990898643625426,7.0210741390371,9.507168114822525,18.92962758244673,6.994808297607207,11.641953718418135,7.569058538089697,15.719940775314711
window_45_5,17.29989248085022,8.558011485672665,4.247730896206369,6.27140062704739,4.200290692685719,10.397431361755189,10.999782513972011,4.715814811335205,6.592788455627183,10.395403943251146,8.367854726840308
window_45_6,98.16805262156899,8.059295861486067,18.08252419903063,6.650343938691295,5.364856463673315,2.2215814902742017,16.853821903554174,7.436460951382681,5.757739277056431,9.660476151091338,17.825515285780913
window_45_7,13.740584215383533,44.06648974127697,8.955274134302648,12.066512427281632,7.9617147196217735,7.674736263574099,5.457823603906831,6.087213250446879,12.586644027002691,19.80936383042156,13.84063562132186
window_45_8,22.813723487451565,22.593239863645163,14.592826375830846,6.566510823808778,6.68325167182065,5.866453655573055,12.32194848311264,7.285449587224764,10.738053467025965,9.746903276750146,11.920836069224356
window_45_9,10.693343706246408,21.208323558776783,11.457176525957038,7.254109579586842,14.389983136708095,5.371716838104458,7.511189143968724,16.062451153230157,7.216698518522584,6.453731063436045,10.761872322453712
window_45_10,73.98305353707927,22.34673691922457,8.188105362232003,13.009214194671559,10.62504394494045,9.399599103324487,6.029357940882234,9.194178205891616,10.40863390080469,7.13138673583944,17.03153098448903
window_45_11,14.780309400253527,16.014760795295402,7.167008685732842,4.475032942858439,3.3730898898117,2.9036022702786766,7.378772911465631,7.758857066241265,6.561618419374531,4.053534201801346,7.446658658311335
window_45_12,7.497276989813321,8.168842412665288,2.502428075057001,1.8145953419852823,3.7401595763233035,6.499214277522868,6.2196359594629085,3.2808267451255833,14.323158187867568,16.905364134039935,7.095150169986306
window_45_13,26.681698416487915,68.25795691911463,23.310855076859625,18.198637059883012,23.398549722364955,10.421024782409324,15.363521857449962,10.262210271549838,52.57887574524395,7.338062930730055,25.581139278209324
window_45_14,100.76471297364631,14.967071859716786,11.440705138311133,11.981153566694939,9.821617166948014,43.95755234684801,8.893743645402914,6.340033574232269,13.814574307649059,7.106096249380992,22.908726082883042
